title,img_src,link,author,publisher,price
다행인지 불행인지 2,https://bookthumb-phinf.pstatic.net/cover/163/388/16338821.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338821, 노희다,연담,"11,700원"
버지니아 울프 단편소설 전집(버지니아 울프 전집 10),https://bookthumb-phinf.pstatic.net/cover/163/419/16341940.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16341940, 버지니아 울프,솔,"17,100원"
잭 the 뱀파이어,https://bookthumb-phinf.pstatic.net/cover/163/491/16349145.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349145, 박지선,들녘,"12,600원"
삼국지 2,https://bookthumb-phinf.pstatic.net/cover/163/450/16345005.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16345005, 나관중,우리책,"14,400원"
다행인지 불행인지 3,https://bookthumb-phinf.pstatic.net/cover/163/388/16338825.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338825, 노희다,연담,"11,700원"
다행인지 불행인지 4/완결,https://bookthumb-phinf.pstatic.net/cover/163/388/16338826.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338826, 노희다,연담,"11,700원"
첫사랑,https://bookthumb-phinf.pstatic.net/cover/163/492/16349268.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349268, 사뮈엘 베케트,문학과지성사,"8,100원"
다행인지 불행인지 1~4 - 전4권,https://bookthumb-phinf.pstatic.net/cover/163/388/16338828.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16338828, 노희다,연담,"46,800원"
모자,https://bookthumb-phinf.pstatic.net/cover/163/492/16349271.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349271, 토마스 베른하르트,문학과지성사,"9,000원"
꿈의 노벨레,https://bookthumb-phinf.pstatic.net/cover/163/492/16349272.jpg?type=m1&udate=Sun May 10 14:13:34 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349272, 아르투어 슈니츨러,문학과지성사,"8,100원"
